Year;MAKE;MODEL;VEHICLE CLASS;ENGINE SIZE;CYLINDERS;TRANSMISSION;FUEL;FUEL CONSUMPTION;COEMISSIONS 
2000;FORD;TAURUS WAGON #;STATION WAGON - MID-SIZE;3;6;A4;X;14;276
2000;FORD;WINDSTAR VAN;VAN - CARGO;3;6;A4;X;156;311
2000;FORD;WINDSTAR VAN;VAN - CARGO;38;6;A4;X;149;304
2000;FORD;WINDSTAR WAGON;MINIVAN;3;6;A4;X;156;311
2000;FORD;WINDSTAR WAGON;MINIVAN;38;6;A4;X;155;311
2000;GMC;C1500 SIERRA;PICKUP TRUCK - STANDARD;43;6;A4;X;177;368
2000;GMC;C1500 SIERRA;PICKUP TRUCK - STANDARD;43;6;M5;X;185;384
2000;GMC;C1500 SIERRA;PICKUP TRUCK - STANDARD;48;8;A4;X;163;334
2000;GMC;C1500 SIERRA;PICKUP TRUCK - STANDARD;48;8;M5;X;189;373
2000;GMC;C1500 SIERRA;PICKUP TRUCK - STANDARD;53;8;A4;X;167;343
2000;GMC;C1500 YUKON;SUV;48;8;A4;X;187;391
2000;GMC;C1500 YUKON;SUV;53;8;A4;X;189;391
2000;GMC;C1500 YUKON XL;SUV;53;8;A4;X;189;391
2000;GMC;C2500 SIERRA;PICKUP TRUCK - STANDARD;53;8;A4;X;179;373
2000;GMC;C2500 SIERRA;PICKUP TRUCK - STANDARD;6;8;A4;X;214;435
2000;GMC;G15/G25 SAVANA CARGO;VAN - CARGO;43;6;A4;X;178;368
2000;GMC;G15/G25 SAVANA CARGO;VAN - CARGO;5;8;A4;X;182;373
2000;GMC;G15/G25 SAVANA CARGO;VAN - CARGO;57;8;A4;X;191;396
2000;GMC;G1500/G2500 SAVANA PASSENGER;VAN - PASSENGER;43;6;A4;X;183;380
2000;GMC;G1500/G2500 SAVANA PASSENGER;VAN - PASSENGER;5;8;A4;X;183;377
2000;GMC;G1500/G2500 SAVANA PASSENGER;VAN - PASSENGER;57;8;A4;X;206;426
2000;GMC;JIMMY;SUV;43;6;A4;X;162;336
2000;GMC;JIMMY;SUV;43;6;M5;X;163;327
2000;GMC;JIMMY 4X4;SUV;43;6;A4;X;17;350
2000;GMC;JIMMY 4X4;SUV;43;6;M5;X;187;386
2000;GMC;K1500 SIERRA 4X4;PICKUP TRUCK - STANDARD;43;6;A4;X;17;350
2000;GMC;K1500 SIERRA 4X4;PICKUP TRUCK - STANDARD;43;6;M5;X;187;386
2000;GMC;K1500 SIERRA 4X4;PICKUP TRUCK - STANDARD;48;8;A4;X;173;366
2000;GMC;K1500 SIERRA 4X4;PICKUP TRUCK - STANDARD;48;8;M5;X;202;407
2000;GMC;K1500 SIERRA 4X4;PICKUP TRUCK - STANDARD;53;8;A4;X;18;377
2000;GMC;K1500 YUKON 4X4;SUV;48;8;A4;X;187;391
2000;GMC;K1500 YUKON 4X4;SUV;53;8;A4;X;189;391
2000;GMC;K1500 YUKON 4X4;SUV;57;8;A4;X;212;430
2000;GMC;SAFARI CARGO;VAN - CARGO;43;6;A4;X;162;336
2000;GMC;SAFARI CARGO AWD;VAN - CARGO;43;6;A4;X;17;350
2000;GMC;SAFARI PASSENGER;VAN - PASSENGER;43;6;A4;X;177;368
2000;GMC;SAFARI PASSENGER AWD;VAN - PASSENGER;43;6;A4;X;174;359
2000;GMC;SONOMA;PICKUP TRUCK - SMALL;22;4;A4;X;138;278
2000;GMC;SONOMA;PICKUP TRUCK - SMALL;22;4;M5;X;122;246
2000;GMC;SONOMA;PICKUP TRUCK - SMALL;43;6;A4;X;154;313
2000;GMC;SONOMA;PICKUP TRUCK - SMALL;43;6;M5;X;162;322
2000;GMC;SONOMA 4X4;PICKUP TRUCK - STANDARD;43;6;A4;X;168;345
2000;GMC;SONOMA 4X4;PICKUP TRUCK - STANDARD;43;6;M5;X;163;329
2000;HONDA;ACCORD;MID-SIZE;3;6;A4;X;13;260
2000;HONDA;ACCORD DX;MID-SIZE;23;4;A4;X;122;246
2000;HONDA;ACCORD DX;MID-SIZE;23;4;M5;X;115;235
2000;HONDA;ACCORD EX/LX;MID-SIZE;23;4;A4;X;118;237
2000;HONDA;ACCORD EX/LX;MID-SIZE;23;4;M5;X;108;221
2000;HONDA;CIVIC COUPE Si;SUBCOMPACT;16;4;A4;X;105;216
2000;HONDA;CIVIC COUPE Si;SUBCOMPACT;16;4;M5;X;98;205
2000;HONDA;CIVIC COUPE SiR;SUBCOMPACT;16;4;M5;Z;109;223
2000;HONDA;CIVIC CX/DX/LX/EX;SUBCOMPACT;16;4;A4;X;10;202
2000;HONDA;CIVIC CX/DX/LX/EX;SUBCOMPACT;16;4;M5;X;88;184
2000;HONDA;CR-V;SUV;2;4;A4;X;125;267
2000;HONDA;CR-V;SUV;2;4;M5;X;125;267
2000;HONDA;INSIGHT;SUBCOMPACT;1;3;M5;X;49;104
2000;HONDA;ODYSSEY;MINIVAN;35;6;A4;X;149;292
2000;HONDA;PRELUDE;SUBCOMPACT;22;4;AS4;Z;127;260
2000;HONDA;PRELUDE;SUBCOMPACT;22;4;M5;Z;12;251
2000;HONDA;S2000;SUBCOMPACT;2;4;M6;Z;131;269
2000;HYUNDAI;ACCENT;COMPACT;15;4;A4;X;105;209
2000;HYUNDAI;ACCENT;COMPACT;15;4;M5;X;97;198
2000;HYUNDAI;ELANTRA;COMPACT;2;4;A4;X;122;242
2000;HYUNDAI;ELANTRA;COMPACT;2;4;M5;X;113;223
2000;HYUNDAI;ELANTRA WAGON;STATION WAGON - SMALL;2;4;A4;X;125;248
2000;HYUNDAI;ELANTRA WAGON;STATION WAGON - SMALL;2;4;M5;X;114;228
